produkt;variante;sku;charge;batch_id;variant_id;status;aktuell_remaining;korrektur_plus;neu_remaining;orders
Beluga Kaviar Dose;50g;867;L270526;JDxzFKymkbCx4pshUvUI;56967445905752;ACTIVE;11;1;12;#1278 (1)
Black Cod Filet;200g;563;L170626;gJAuAnbfj8e2awrE4hMA;56699547877720;ACTIVE;20;9;29;#1289 (3), #1382 (6)
Coho Lachskaviar «Classic»;100g;550;L080626;VdssdZWBReNj63eXaUAD;56967447740760;ACTIVE;80;5;85;#1283 (2), #1328 (1), #1325 (1), #1444 (1)
Coho Lachskaviar «Classic»;200g;551;L260526;xy9XRU8h9isfOVlLFYfy;56699548598616;ACTIVE;91;1;92;#1289 (1)
Dorschrogen;95g;537;L290426;ip0EqDUOvn6sGDG3vTkD;57245821862232;ACTIVE;30;4;34;#1400 (1), #1433 (2), #1379 (1)
Filetstreifen vom Lachs;150g;878;L100626;e1NQ9W0QbkCbuPEM1h15;56699544109400;ACTIVE;51;28;79;#1279 (5), #1382 (10), #1444 (11), #1362 (1), #1374 (1)
Forellenkaviar;300g;526;L190526;0faKCaSkUeIGxRdc33H7;56959548981592;ACTIVE;7;5;12;#1328 (2), #1400 (3)
Forellenkaviar «Classic»;100g;758;L190526;QntJnVsPrPR65qzisEXo;56941678821720;ACTIVE;50;4;54;#1259 (1), #1290 (1), #1328 (1), #1444 (1)
Goldband-Selar Snack getrocknet;36g;584;L20122025;PKIks5OrpqTRf7LPbD8G;57245846831448;ACTIVE;85;1;86;#1382 (1)
Goldband-Selar Snack getrocknet mit Rauchgeschmack;36g;585;L20122025;G1GfF7StNHuYzjMAlKnz;57245845651800;ACTIVE;120;2;122;#1259 (1), #1382 (1)
Hechtkaviar;100g;538;L180526;Xp8kqNJeThglOKfb8jLV;56699549483352;ACTIVE;5;2;7;#1433 (2)
Heringsrogen;75g;527;L030626;g2TWhLHLo0yJ5owNR0nX;57245835198808;ACTIVE;165;1;166;#1379 (1)
Kaluga Kaviar Dose;50g;912;L080626;rLauc9NyPZ9AT279WzD4;56967449411928;ACTIVE;1;3;4;#1288 (3)
Kaviar vom russischen Stör;50g;873;L130426;uo27j2t7VJGd8vHnyPUB;56970829496664;ACTIVE;13;1;14;#1288 (1)
Kaviar vom russischen Stör in der Dose;50g;875;L260526;Xey6chSlQPxCt4q7qCXg;56699540013400;ACTIVE;8;1;9;#1400 (1)
Keta Lachskaviar;300g;524;L080626;758KGOskL6cUUYMadqJc;56699545190744;ACTIVE;7;5;12;#1328 (2), #1433 (3)
Königslachskaviar «Classic»;100g;561;L010626;35N1KEX3coL7B5XCfvTU;56699547976024;ACTIVE;90;1;91;#1444 (1)
Königslachskaviar «Classic»;200g;562;L080626;B0sPmJc4H72D1uoCz5sA;56699547943256;ACTIVE;70;5;75;#1283 (5)
Königslachskaviar «Classic»;100g;561;L180526;t9eA07tB0X0eysmgliw0;56699547976024;DEPLETED;0;1;1;#1328 (1)
Lachsforellenfilet gedörrt, pikant;300g;553;L220626;RrgAMEYyOTcQ1738TuVa;56699548238168;ACTIVE;12;4;16;#1382 (1), #1371 (1), #1362 (1), #1374 (1)
Lachsforellenfilet kaltgeräuchert;200g;565;L150626;cpu7IaMkpkl1F2lTpcpW;56967452361048;ACTIVE;21;1;22;#1371 (1)
Lachskaviar Gorbuscha «Classic»;100g;601;L160626;tAMUgKbp5YxnM8EJAFES;56699537293656;ACTIVE;82;4;86;#1259 (1), #1290 (1), #1328 (1), #1444 (1)
Lachskaviar Gorbuscha «Classic»;200g;608;L270526;XnnVpVIEtl4i4yk0AEEU;56967452426584;ACTIVE;4;1;5;#1289 (1)
Lachskaviar Gorbuscha «Red Gold»;95g;518;L090626;UQu3BcjnXfY8YxiOqjXC;56970331095384;ACTIVE;90;1;91;#1379 (1)
Lachskaviar Gorbuscha «Red Gold»;300g;519;L160626;AeC2Dvw2wpKI7nvUL6D4;56959548916056;ACTIVE;155;13;168;#1328 (2), #1382 (11)
Lachskaviar Keta «Classic»;100g;756;L010626;51qdEGy9XQzC7w2RfKCa;56967453835608;ACTIVE;13;4;17;#1259 (1), #1290 (1), #1328 (1), #1444 (1)
Maränenrogen;100g;552;L020326;TTOxDrVNrxMF99cupLGG;56699548500312;ACTIVE;5;1;6;#1259 (1)
Mini Blinis, 16 Stück;Default Title;513;L00987911;WbAaDghp8oXOaiePl0rI;56699539489112;ACTIVE;1449;14;1463;#1259 (2), #1264 (1), #1288 (1), #1283 (1), #1302 (1), #1289 (1), #1328 (1), #1400 (1), #1382 (1), #1444 (1), #1433 (1), #1371 (1), #1376 (1)
Rotlachs-Yukola gedörrt & geräuchert, Wildfang;300g;957;L160626;4ecgc2sec1z0FD7VAi5S;57243382284632;DEPLETED;0;4;4;#1275 (1), #1279 (1), #1379 (1), #1390 (1)
Rotlachs-Yukola gedörrt & geräuchert, Wildfang;300g;957;L220626;VkGxBmyZfYD4Y1uJMl7Z;57243382284632;ACTIVE;22;6;28;#1400 (1), #1382 (1), #1395 (1), #1409 (1), #1371 (1), #1376 (1)
Rotlachsfilet gedörrt, Wildfang;300g;535;L150526;hohLB9tLjJBW8fV5s7q8;56699550105944;ACTIVE;46;3;49;#1263 (1), #1444 (1), #1376 (1)
Rotlachsfilet kaltgeräuchert, Wildfang;ca 500g;859;L020626;ZATHJdLu3vi6jYaRnfb7;56699543912792;ACTIVE;1;1;2;#1400 (1)
Rotlachsfilet kaltgeräuchert, Wildfang;ca 500g;859;L020626;yttAH3oV4Mq1HF5uC8UP;56699543912792;ACTIVE;6;2;8;#1382 (2)
Rotlachsfilet kaltgeräuchert, Wildfang;ca 250g;916;L210526;PmFsFxuDDgEUnlSIdDPX;56699543945560;ACTIVE;4;1;5;#1371 (1)
Rotlachskaviar «Classic»;100g;532;L050526;KmIt16aPIVFCwnBwEICH;56699550204248;ACTIVE;124;4;128;#1302 (2), #1328 (1), #1444 (1)
Rotlachskaviar «Classic»;200g;533;L080626;Cpv1AC6IMYBYvQf7xgQ3;56699550171480;ACTIVE;46;11;57;#1302 (10), #1289 (1)
Stachelmakrelen Snack «Stawridka» getrocknet;36g;586;L20122025;3xdJg11EK0LOPFDeHISJ;57245844373848;ACTIVE;55;2;57;#1259 (1), #1382 (1)
